ds,symbol,close,volume
2003-09-10,CHG,44.92,29000.0
2003-09-11,CHG,45.0,18600.0
2003-10-01,CHG,44.77,33600.0
2003-10-02,CHG,44.64,18500.0
2003-10-03,CHG,44.84,544200.0
2003-10-06,CHG,44.77,24500.0
2003-10-07,CHG,45.33,237300.0
2003-10-08,CHG,44.62,37800.0
2003-10-09,CHG,44.9,41500.0
2003-10-10,CHG,44.57,19600.0
2003-10-13,CHG,44.93,14200.0
2003-10-14,CHG,44.9,19700.0
2003-10-15,CHG,44.48,39800.0
2003-10-16,CHG,44.4,24500.0
2003-10-17,CHG,44.38,93200.0
2003-10-20,CHG,44.28,46000.0
2003-10-21,CHG,44.34,36500.0
2003-10-22,CHG,43.6,37100.0
2003-10-23,CHG,43.24,21400.0
2003-10-24,CHG,43.11,17000.0
2003-10-27,CHG,43.79,24900.0
2003-10-28,CHG,44.0,24900.0
2003-10-29,CHG,43.6,23800.0
2003-10-30,CHG,43.46,43500.0
2003-10-31,CHG,43.8,27400.0
2003-11-03,CHG,44.44,25120.0
2003-11-04,CHG,44.54,62800.0
2003-11-05,CHG,44.2,28400.0
2003-11-06,CHG,44.17,16900.0
2003-11-07,CHG,43.89,17000.0
2003-11-10,CHG,43.57,31200.0
2003-11-11,CHG,43.63,11900.0
2003-11-12,CHG,44.36,22600.0
2003-11-13,CHG,44.17,21100.0
2003-11-14,CHG,43.75,25000.0
2003-11-17,CHG,43.6,34100.0
2003-11-18,CHG,42.66,37000.0
2003-11-19,CHG,42.91,22900.0
2003-11-20,CHG,43.1,37200.0
2003-11-21,CHG,43.1,113000.0
2003-11-24,CHG,44.0,36500.0
2003-11-25,CHG,44.37,31400.0
2003-11-26,CHG,44.37,16000.0
2003-11-28,CHG,43.9,9300.0
2003-12-01,CHG,43.99,18300.0
2003-12-02,CHG,44.68,46500.0
2003-12-03,CHG,44.26,23900.0
2003-12-04,CHG,44.44,27300.0
2003-12-05,CHG,44.53,24900.0
2003-12-08,CHG,44.73,20800.0
2003-12-09,CHG,44.54,29100.0
2003-12-10,CHG,44.2,24400.0
2003-12-11,CHG,44.98,31300.0
2003-12-12,CHG,44.9,44800.0
2003-12-15,CHG,44.69,62300.0
2003-12-16,CHG,44.64,38600.0
2003-12-17,CHG,45.1,22500.0
2003-12-18,CHG,45.41,36900.0
2003-12-19,CHG,45.22,34100.0
2003-12-22,CHG,44.99,20000.0
2003-12-23,CHG,45.25,46800.0
2003-12-24,CHG,45.62,25700.0
2003-12-26,CHG,45.69,8600.0
2003-12-29,CHG,45.89,19900.0
2003-12-30,CHG,46.69,21600.0
2003-12-31,CHG,46.9,48000.0
2004-01-02,CHG,46.28,27800.0
2004-01-05,CHG,46.04,40500.0
2004-01-06,CHG,45.58,33800.0
2004-01-07,CHG,45.49,18100.0
2004-01-08,CHG,45.7,23000.0
2004-01-09,CHG,45.49,17500.0
2004-01-12,CHG,45.63,18900.0
2004-01-13,CHG,45.92,22800.0
2004-01-14,CHG,45.98,19500.0
2004-01-15,CHG,46.14,15000.0
2004-01-16,CHG,45.59,13600.0
2004-01-20,CHG,46.25,32600.0
2004-01-21,CHG,46.36,37400.0
2004-01-22,CHG,46.51,37900.0
2004-01-23,CHG,47.0,41400.0
2004-01-26,CHG,46.84,21100.0
2004-01-27,CHG,46.6,20000.0
2004-01-28,CHG,46.01,27900.0
2004-01-29,CHG,46.06,29500.0
2004-01-30,CHG,46.22,21500.0
2004-02-02,CHG,46.45,25000.0
2004-02-03,CHG,46.77,32900.0
2004-02-04,CHG,46.26,42500.0
2004-02-05,CHG,46.5,19000.0
2004-02-06,CHG,47.0,18500.0
2004-02-09,CHG,47.39,31600.0
2004-02-10,CHG,48.4,38600.0
2004-02-11,CHG,48.5,15300.0
2004-02-12,CHG,48.44,15200.0
2004-02-13,CHG,48.5,46100.0
2004-02-17,CHG,48.83,25900.0
2004-02-18,CHG,48.66,18800.0
2004-02-19,CHG,48.22,25800.0
2004-02-20,CHG,48.11,24800.0
2004-02-23,CHG,48.04,35000.0
2004-02-24,CHG,48.23,32000.0
2004-02-25,CHG,48.3,30400.0
2004-02-26,CHG,48.34,35400.0
2004-02-27,CHG,49.2,39400.0
2004-03-01,CHG,49.2,35000.0
2004-03-02,CHG,49.38,45700.0
2004-03-03,CHG,49.11,39000.0
2004-03-04,CHG,49.17,49200.0
2004-03-05,CHG,49.2,42200.0
2004-03-08,CHG,49.23,180100.0
2004-03-09,CHG,49.29,41500.0
2004-03-10,CHG,49.25,36300.0
2004-03-11,CHG,48.58,34800.0
2004-03-12,CHG,49.04,29700.0
2004-03-15,CHG,48.6,35800.0
2004-03-16,CHG,48.45,39300.0
2004-03-17,CHG,48.98,45100.0
2004-03-18,CHG,49.05,25800.0
2004-03-19,CHG,48.66,32000.0
2004-03-22,CHG,48.5,31600.0
2004-03-23,CHG,48.7,26100.0
2004-03-24,CHG,48.44,20400.0
2004-03-25,CHG,48.6,18800.0
2004-03-26,CHG,48.85,37200.0
2004-03-29,CHG,48.98,46200.0
2004-03-30,CHG,48.91,41700.0
2004-03-31,CHG,49.09,62400.0
2004-04-01,CHG,49.24,47600.0
2004-04-02,CHG,49.33,50500.0
2004-04-05,CHG,49.49,54600.0
2004-04-06,CHG,48.52,33700.0
2004-04-07,CHG,48.35,21600.0
2004-04-08,CHG,47.89,30400.0
2004-04-12,CHG,47.71,43400.0
2004-04-13,CHG,46.95,47400.0
2004-04-14,CHG,46.18,31500.0
2004-04-15,CHG,46.26,37100.0
2004-04-16,CHG,46.52,41300.0
2004-04-19,CHG,46.45,27700.0
2004-04-20,CHG,46.37,23600.0
2004-04-21,CHG,46.6,46700.0
2004-04-22,CHG,47.86,49900.0
2004-04-23,CHG,47.63,36900.0
2004-04-26,CHG,47.27,31300.0
2004-04-27,CHG,47.14,46000.0
2004-04-28,CHG,46.85,30300.0
2004-04-29,CHG,46.25,20500.0
